status_id,status_message,link_name,status_type,status_link,status_time,num_likes,num_comments,num_shares
15087023444_10154923897203445,b'Eliud Kipchoge - 2:00:25\n\nThe barrier just got that much closer. #Breaking2 #JustDoIt',b'Nike #Breaking2: 2:00:25',video,https://www.facebook.com/nike/videos/10154923897203445/,2017-05-06 04:57:27,0,1742,11653
15087023444_10154923624398445,b'Eliud Kipchoge - 2:00:25\n\nThe barrier just got that much closer. #Breaking2 #JustDoIt',b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10154923624398445/?type=3,2017-05-06 03:03:56,0,427,2294
15087023444_10154922712393445,"b'Barriers are meant to be broken, and this is a crazy-fast one. #Breaking2'",b'Nike #Breaking2: Legs',video,https://www.facebook.com/nike/videos/10154922712393445/,2017-05-05 21:05:48,0,97,472
15087023444_10154919213913445,b'Breaking the 2-hour marathon. Crazy? Yes. So we\xe2\x80\x99re doing it. \n\nWatch #LIVE here. #Breaking2',b'Nike #Breaking2: Trailer',video,https://www.facebook.com/nike/videos/10154919213913445/,2017-05-04 22:38:13,0,830,6537
15087023444_10154916723568445,,b'Nike // Breaking2',video,https://www.facebook.com/nike/videos/10154916723568445/,2017-05-05 22:28:28,0,44849,42882
15087023444_10154816918118445,b'Triple-double record? #WhyNot? Russell Westbrook',,video,https://www.facebook.com/nike/videos/10154816918118445/,2017-04-09 19:02:52,0,294,657
15087023444_10154765691343445,"b'Neymar Jr. brings Air Max Day to a close in Times Square, but the revolution never ends. #airmax'",,video,https://www.facebook.com/nike/videos/10154765691343445/,2017-03-26 22:15:00,0,293,2117
15087023444_10154765645488445,"b""It's not a shoe, it's a movement. #AirMax""",,video,https://www.facebook.com/nike/videos/10154765645488445/,2017-03-26 20:35:32,0,326,1898
15087023444_10154760805628445,b'Air Max Day is coming. What pair will you wear? #airmax',b'Air Max Day',video,https://www.facebook.com/nike/videos/10154760805628445/,2017-03-25 12:59:01,0,449,1470
15087023444_10154758205093445,b'Great minds think alike. #airmax Draymond Green',b'Great Minds Think Alike.',video,https://www.facebook.com/nike/videos/10154758205093445/,2017-03-25 09:01:25,0,107,265
15087023444_10154758120033445,"b'The revolution never ends. Thirty years of Air: from Air Max 1 to Nike Air VaporMax. Get your favorites ready, new or OG, for #AirMaxDay 3.26. \n\n \n#nike #airmax1 #airmaxogred #airmaxogblue #airmax1aloha #airmax1ultralondon #airmax1tigercamo #airmax1atmos #airmax90infrared #airmaxbw #airmax180 #airmax93 #airmax95 #airmax97 #airmaxplus #airmax360 #airmax2009 #airmax2014 #airmaxzero #vapormax'",b'Air Max Day',video,https://www.facebook.com/nike/videos/10154758120033445/,2017-03-24 12:35:33,0,346,1621
15087023444_10154753554568445,"b'#NikeLab presents: The Vision-AIRS. Go behind the design with famed industrial designer Marc Newson, whose #VaporMax launches #AirMaxDay on Nike.com.'",b'NikeLab presents: The Vision-AIRS',video,https://www.facebook.com/nike/videos/10154753554568445/,2017-03-23 15:01:11,0,167,265
15087023444_10154706515833445,b'What are girls made of?\n  \nYou\xe2\x80\x99re made of what you do.\n\n#believeinmore #nike',b'Believe In More',video,https://www.facebook.com/nike/videos/10154706515833445/,2017-03-08 13:06:19,0,782,9624
15087023444_10154706085838445,"b""What will they say about you?\n\nMaybe they'll say you showed them what was possible.\n \n#believeinmore #nike""",b'Believe In More',video,https://www.facebook.com/nike/videos/10154706085838445/,2017-03-08 10:01:29,0,1414,7429
15087023444_10154675214458445,,b'Nike Football',video,https://www.facebook.com/nikefootball/videos/10155995126908079/,2017-02-27 14:48:08,0,214,1
15087023444_10154656907798445,"b'The bond between players should exist between people. Thank you, New Orleans. #EQUALITY #Nike'",b'EQUALITY',video,https://www.facebook.com/nike/videos/10154656907798445/,2017-02-21 17:48:37,0,154,275
